Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",153.708562,-70.341263,90.000000,bottom
"C2","10uF","C_0805_2012Metric",129.184400,-74.625200,-90.000000,bottom
"C3","10uF","C_0805_2012Metric",129.336800,-70.444400,90.000000,bottom
"C4","10uF","C_0805_2012Metric",153.982885,-74.889462,90.000000,bottom
"C6","100nF","C_0603_1608Metric",132.080000,-118.364000,-90.000000,bottom
"C7","100nF","C_0603_1608Metric",164.541200,-121.412000,0.000000,bottom
"C8","100uF","CP_Elec_6.3x7.7",117.856000,-86.868000,-90.000000,bottom
"C9","100nF","C_0603_1608Metric",127.000000,-130.556000,-90.000000,bottom
"C10","100uF","CP_Elec_6.3x7.7",121.920000,-134.112000,-90.000000,bottom
"C11","100nF","C_0603_1608Metric",122.872000,-84.683600,-90.000000,bottom
"C12","100uF","CP_Elec_6.3x7.7",172.212000,-86.113000,-90.000000,bottom
"C13","100nF","C_0603_1608Metric",166.624000,-84.201000,-90.000000,bottom
"C14","100uF","CP_Elec_6.3x7.7",188.976000,-112.616000,-90.000000,bottom
"C15","100nF","C_0603_1608Metric",182.446000,-113.259000,-90.000000,bottom
"J1","Barrel_Jack_Switch","CUI_PJ-036AH-SMT-TR",146.500000,-65.500000,-90.000000,bottom
"M1","A4950E","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",175.451000,-112.684000,90.000000,bottom
"M2","A4950E","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",159.829000,-85.436000,90.000000,bottom
"M3","A4950E","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",131.064000,-132.496000,90.000000,bottom
"M4","A4950E","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm",127.317000,-86.452000,90.000000,bottom
"R1","0.45","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",179.451000,-111.984000,-90.000000,bottom
"R2","0.45","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",164.084000,-85.471000,-90.000000,bottom
"R3","0.45","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",135.289000,-130.996000,-90.000000,bottom
"R4","0.45","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",131.572000,-85.147000,-90.000000,bottom
"U1","LM1117-3.3","lm1117",134.620000,-73.660000,0.000000,bottom
"U2","LM1117DT-5.0","lm1117",160.336390,-73.688600,0.000000,bottom
