Designator;Mid X;Mid Y;Layer;Rotation
C1;140mm;-71mm;bottom;0
C2;154mm;-71mm;bottom;180
C3;159mm;-71mm;bottom;180
C4;135mm;-71mm;bottom;0
C5;145mm;-102mm;bottom;180
C6;133mm;-118mm;bottom;-90
C7;165mm;-121mm;bottom;0
C8;119mm;-86mm;bottom;-90
C9;127mm;-131mm;bottom;-90
C10;124mm;-121mm;bottom;0
C11;123mm;-83mm;bottom;-90
C12;173mm;-86mm;bottom;-90
C13;168mm;-84mm;bottom;-90
C14;185mm;-111mm;bottom;-90
C15;180mm;-107mm;bottom;-90
J1;146mm;-59mm;bottom;0
J2;139mm;-115mm;bottom;0
J3;154mm;-115mm;bottom;0
M1;175mm;-113mm;bottom;90
M2;161mm;-85mm;bottom;90
M3;131mm;-132mm;bottom;90
M4;127mm;-86mm;bottom;90
R1;179mm;-112mm;bottom;-90
R2;166mm;-85mm;bottom;-90
R3;131mm;-126mm;bottom;180
R4;132mm;-85mm;bottom;-90
R5;148mm;-95mm;bottom;-90
R6;144mm;-95mm;bottom;90
U1;156mm;-76mm;bottom;-90
U2;137mm;-77mm;bottom;-90
S1;146mm;-99mm;top;0
S2;128mm;-118mm;top;0
S3;165mm;-118mm;top;0
