Designator,Mid X,Mid Y,Rotation,Layer
C1,139.97,-70.9304,180.0,bottom
C10,124.33,-121.3604,180.0,bottom
C11,123.49,-82.8104,270.0,bottom
C12,172.7,-86.0704,270.0,bottom
C13,168.11,-84.2254,270.0,bottom
C14,184.54,-110.9604,270.0,bottom
C15,180.15,-106.6704,270.0,bottom
C2,154.18,-70.5804,0.0,bottom
C3,158.8,-70.5704,0.0,bottom
C4,135.33,-70.9004,180.0,bottom
C5,145.288,-102.108,0.0,bottom
C6,132.969,-117.996,270.0,bottom
C7,164.5412,-121.412,180.0,bottom
C8,118.81,-86.3704,270.0,bottom
C9,127.0,-130.556,270.0,bottom
J1,145.8,-59.2,180.0,bottom
J2,138.93,-115.30715,180.0,bottom
J3,154.17,-115.30715,180.0,bottom
M1,175.451,-112.684,90.0,bottom
M2,161.315,-85.4604,90.0,bottom
M3,131.064,-132.496,90.0,bottom
M4,127.317,-86.452,90.0,bottom
R1,179.451,-111.984,270.0,bottom
R2,165.57,-85.4954,270.0,bottom
R3,131.13,-125.5004,0.0,bottom
R4,131.572,-85.147,270.0,bottom
R5,148.336,-95.123,270.0,bottom
R6,144.145,-95.123,90.0,bottom
S1,146.20114,-99.25,0.0,top
S2,127.508,-117.856,0.0,top
S3,164.7135,-117.922,0.0,top
U1,155.51,-76.3904,270.0,bottom
U2,136.59,-76.9304,270.0,bottom
